地点	纬度	经度
华中科技大学	30.507613	114.413319
武汉人工智能与新能源汽车工业技术研究院	30.389055	114.144228
武汉天马微电子有限公司	30.460037	114.446403
武汉数字工程研究所	30.507602	114.392725
武汉市中心医院南京路院区	30.580764	114.295417
武汉市中心医院后湖院区	30.628079	114.265824
武汉建筑设计院	30.540454	114.327016
武汉凌安科技有限公司	30.528314	114.308546
武汉理工大学	30.50864	114.334565
武汉纺织大学	30.380146	114.33948
武汉船舶设计研究院有限公司	30.530091	114.308548
长飞光纤光缆股份有限公司	30.500807	114.423383
烽火通信科技股份有限公司系统设备制造部	30.49947	114.430284
武汉中原电子集团有限公司	30.450385	114.425888
武汉高德红外股份有限公司	30.468187	114.42561
中电光谷数字产业园	30.465422	114.023043
格力智能装备有限公司	30.465628	114.044528
武汉邮电科学研究院	30.515828	114.390848
武汉市第一医院	30.571375	114.271648
武汉大学人民医院	30.535683	114.30412
武汉市第三医院	30.542594	114.302177
武汉市第五医院	30.547294	114.27148
武汉生物工程学院	30.712574	114.526412
武汉遥感与空间信息工业技术研究院	30.469359	114.525182
武汉人天机器人工程有限公司	30.43105	114.421242
武汉高思光电科技有限公司	30.454611	114.405195
武汉交通科学研究院	30.614801	114.285685
武汉市化学工业研究所中试基地	30.473983	114.424332
武汉智能装备研究院	30.470896	114.579824
湖北省中医院	30.504621	114.406872
湖北省肿瘤医院	30.500327	114.366823
武汉设计工程学院	30.404541	114.412345


3D打印公司
武汉渡诣科技有限公司	30.437637	114.431817
武汉易制科技有限公司	30.456459	114.407505
湖北创想三维科技有限公司	30.620013	114.080926
武汉易形三维科技有限公司	30.456285	114.402918

