Nodes,Machines,Jobs,UB,LB,Gap,Runtime,Totallabels,LabelsT,Labelssame,Labelsdomi,Iteration
2,2,5,66.94441011,66.94441011,2.97E-15,0.072,2181,534,44,1984,4
2,2,5,47.16552506,47.16552506,-3.01E-16,0.068,2883,386,102,2434,4
2,2,5,37.32455532,37.32455532,-6.47E-15,0.077,1956,467,48,1833,4
2,2,5,89.91168825,89.91168825,4.74E-15,0.114,2643,383,118,2350,4
2,2,5,52.33105012,52.33105012,4.07E-15,0.104,2156,334,84,2218,4
2,2,5,62.83297568,62.83297568,3.28E-15,0.063,2231,456,72,1993,4
2,2,5,72.44749683,72.44749683,5.88E-15,0.067,2470,406,67,2380,4
2,2,5,81.65084884,81.65084884,2.44E-15,0.064,2063,406,66,1930,4
2,2,5,68.8634244,68.8634244,-4.13E-16,0.067,2254,381,76,2083,4
2,2,5,68.99019514,68.99019514,-4.12E-16,0.113,2254,432,56,1895,4
2,2,8,63.59126028,63.59126028,6.93E-15,9.05,113062,13506,13313,172033,4
2,2,8,86.41307836,86.41307836,-3.29E-16,7.396,82488,7070,10591,119794,4
2,2,8,77.69463864,77.69463864,-3.29E-15,3.088,59909,8655,7407,94979,4
2,2,8,65.63564213,65.63564213,-4.33E-16,6.345,94189,15296,9721,146771,4
2,2,8,96.16637832,96.16637832,2.07E-15,8.319,87282,7174,7968,135146,4
2,2,8,95.22091146,95.22091146,4.33E-15,4.656,71578,8064,8904,109715,4
2,2,8,85.08326112,85.08326112,-3.34E-16,4.373,70838,8922,9074,105605,4
2,2,8,68.20294102,68.20294102,-4.17E-16,5.802,76348,6666,7521,120369,4
2,2,8,87.08326112,87.08326112,-3.26E-16,8.744,80404,6866,8238,121641,4
2,2,8,74.73213749,74.73213749,2.66E-15,9.849,122941,13228,13152,181695,4
2,2,10,89.37354649,89.37354649,4.77E-15,332.842,548775,73096,101422,1122860,4
2,2,10,100.8516481,100.8516481,-4.23E-16,479.118,551276,36742,95916,1113981,4
2,2,10,92.69463864,92.69463864,-2.76E-15,533.031,732825,65401,129852,1474480,4
